account_id,ring_score,pattern,detail
C20695355,1.0,LAYERING,Layering chain participant (score=1.00)
C334722206,1.0,LAYERING,Layering chain participant (score=1.00)
C2010664081,1.0,LAYERING,Layering chain participant (score=1.00)
C1590369311,1.0,LAYERING,Layering chain participant (score=1.00)
C709814692,1.0,LAYERING,Layering chain participant (score=1.00)
C52001156,1.0,LAYERING,Layering chain participant (score=1.00)
C1690582711,1.0,LAYERING,Layering chain participant (score=1.00)
C395598310,1.0,LAYERING,Layering chain participant (score=1.00)
C982554398,1.0,LAYERING,Layering chain participant (score=1.00)
C796518776,1.0,LAYERING,Layering chain participant (score=1.00)
C969277458,1.0,LAYERING,Layering chain participant (score=1.00)
C685420022,1.0,LAYERING,Layering chain participant (score=1.00)
C391273653,1.0,LAYERING,Layering chain participant (score=1.00)
C1931250088,1.0,LAYERING,Layering chain participant (score=1.00)
C403187357,1.0,LAYERING,Layering chain participant (score=1.00)
C1163893456,1.0,LAYERING,Layering chain participant (score=1.00)
C326853902,1.0,LAYERING,Layering chain participant (score=1.00)
C1119776055,1.0,LAYERING,Layering chain participant (score=1.00)
C1219505943,1.0,LAYERING,Layering chain participant (score=1.00)
C1097957850,1.0,LAYERING,Layering chain participant (score=1.00)
C855540901,0.7,FAN_IN+LAYERING,Fan-in hub: 3 unique senders; Layering chain participant (score=1.00)
C1877817663,0.6,FAN_IN,Fan-in hub: 6 unique senders
C409956115,0.5,FAN_IN,Fan-in hub: 5 unique senders
C1073261833,0.5,FAN_IN,Fan-in hub: 5 unique senders
C444141986,0.5,FAN_IN,Fan-in hub: 5 unique senders
C723055144,0.5,FAN_IN,Fan-in hub: 5 unique senders
C503616129,0.5,FAN_IN,Fan-in hub: 5 unique senders
C1346266252,0.5,FAN_IN,Fan-in hub: 5 unique senders
C1671841008,0.5,FAN_IN,Fan-in hub: 5 unique senders
C1735733644,0.5,FAN_IN,Fan-in hub: 5 unique senders
C142912477,0.5,FAN_IN,Fan-in hub: 5 unique senders
C833203294,0.5,FAN_IN,Fan-in hub: 5 unique senders
C260674558,0.5,FAN_IN,Fan-in hub: 5 unique senders
C1672819553,0.5,FAN_IN,Fan-in hub: 5 unique senders
C245054860,0.5,FAN_IN,Fan-in hub: 5 unique senders
C60560601,0.5,FAN_IN,Fan-in hub: 5 unique senders
C1454662243,0.4,FAN_IN,Fan-in hub: 4 unique senders
C606208899,0.4,FAN_IN,Fan-in hub: 4 unique senders
C614406904,0.4,FAN_IN,Fan-in hub: 4 unique senders
C667076483,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1448430357,0.4,FAN_IN,Fan-in hub: 4 unique senders
C639510468,0.4,FAN_IN,Fan-in hub: 4 unique senders
C143665280,0.4,FAN_IN,Fan-in hub: 4 unique senders
C644812401,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1432833589,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1422454320,0.4,FAN_IN,Fan-in hub: 4 unique senders
C654128165,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1404837226,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1414769668,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1440961262,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1550125367,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1480986265,0.4,FAN_IN,Fan-in hub: 4 unique senders
C156150928,0.4,FAN_IN,Fan-in hub: 4 unique senders
C502248737,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1593026077,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1579439357,0.4,FAN_IN,Fan-in hub: 4 unique senders
C157008005,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1569752531,0.4,FAN_IN,Fan-in hub: 4 unique senders
C156772537,0.4,FAN_IN,Fan-in hub: 4 unique senders
C525130533,0.4,FAN_IN,Fan-in hub: 4 unique senders
C526291816,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1559019959,0.4,FAN_IN,Fan-in hub: 4 unique senders
C587951862,0.4,FAN_IN,Fan-in hub: 4 unique senders
C532105661,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1554079554,0.4,FAN_IN,Fan-in hub: 4 unique senders
C685097585,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1541016244,0.4,FAN_IN,Fan-in hub: 4 unique senders
C558516953,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1518666000,0.4,FAN_IN,Fan-in hub: 4 unique senders
C575662398,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1484921022,0.4,FAN_IN,Fan-in hub: 4 unique senders
C68420181,0.4,FAN_IN,Fan-in hub: 4 unique senders
C722183703,0.4,FAN_IN,Fan-in hub: 4 unique senders
C692264054,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1223784651,0.4,FAN_IN,Fan-in hub: 4 unique senders
C763257099,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1278132819,0.4,FAN_IN,Fan-in hub: 4 unique senders
C774818440,0.4,FAN_IN,Fan-in hub: 4 unique senders
C778801861,0.4,FAN_IN,Fan-in hub: 4 unique senders
C793453046,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1237314192,0.4,FAN_IN,Fan-in hub: 4 unique senders
C801357857,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1226697930,0.4,FAN_IN,Fan-in hub: 4 unique senders
C805557013,0.4,FAN_IN,Fan-in hub: 4 unique senders
C812239727,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1387382816,0.4,FAN_IN,Fan-in hub: 4 unique senders
C82075785,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1216773282,0.4,FAN_IN,Fan-in hub: 4 unique senders
C827324398,0.4,FAN_IN,Fan-in hub: 4 unique senders
C84065795,0.4,FAN_IN,Fan-in hub: 4 unique senders
C851047810,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1177699741,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1164437850,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1163899365,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1161119792,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1287073460,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1291981417,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1299091147,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1312699405,0.4,FAN_IN,Fan-in hub: 4 unique senders
C695758207,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1381539779,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1371304585,0.4,FAN_IN,Fan-in hub: 4 unique senders
C706710095,0.4,FAN_IN,Fan-in hub: 4 unique senders
C708574514,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1360951164,0.4,FAN_IN,Fan-in hub: 4 unique senders
C714484936,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1353845349,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1348011400,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1345451270,0.4,FAN_IN,Fan-in hub: 4 unique senders
C491549847,0.4,FAN_IN,Fan-in hub: 4 unique senders
C724074862,0.4,FAN_IN,Fan-in hub: 4 unique senders
C725490079,0.4,FAN_IN,Fan-in hub: 4 unique senders
C728229757,0.4,FAN_IN,Fan-in hub: 4 unique senders
C132794797,0.4,FAN_IN,Fan-in hub: 4 unique senders
C736930351,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1317438969,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1313685064,0.4,FAN_IN,Fan-in hub: 4 unique senders
C739040617,0.4,FAN_IN,Fan-in hub: 4 unique senders
C492204586,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1649147599,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1604125239,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1932868580,0.4,FAN_IN,Fan-in hub: 4 unique senders
C227045688,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1922185629,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1914143115,0.4,FAN_IN,Fan-in hub: 4 unique senders
C236787500,0.4,FAN_IN,Fan-in hub: 4 unique senders
C243498556,0.4,FAN_IN,Fan-in hub: 4 unique senders
C244059867,0.4,FAN_IN,Fan-in hub: 4 unique senders
C253294157,0.4,FAN_IN,Fan-in hub: 4 unique senders
C262317369,0.4,FAN_IN,Fan-in hub: 4 unique senders
C268360131,0.4,FAN_IN,Fan-in hub: 4 unique senders
C27141259,0.4,FAN_IN,Fan-in hub: 4 unique senders
C275047817,0.4,FAN_IN,Fan-in hub: 4 unique senders
C276613847,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1857458087,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1855415754,0.4,FAN_IN,Fan-in hub: 4 unique senders
C294776952,0.4,FAN_IN,Fan-in hub: 4 unique senders
C297531378,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1829919288,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1829498645,0.4,FAN_IN,Fan-in hub: 4 unique senders
C304143994,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1932394072,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1934034806,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1827696797,0.4,FAN_IN,Fan-in hub: 4 unique senders
C214344681,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2050384666,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2062562651,0.4,FAN_IN,Fan-in hub: 4 unique senders
C206734046,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2069546956,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2075398405,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2011993888,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2011608506,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2094743911,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2099069736,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2099284782,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2108455110,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1986002568,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2111848837,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2113198760,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2114555727,0.4,FAN_IN,Fan-in hub: 4 unique senders
C2120528456,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1964004754,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1962424713,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1950771141,0.4,FAN_IN,Fan-in hub: 4 unique senders
C305190226,0.4,FAN_IN,Fan-in hub: 4 unique senders
C311055882,0.4,FAN_IN,Fan-in hub: 4 unique senders
C489250676,0.4,FAN_IN,Fan-in hub: 4 unique senders
C413233576,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1667558881,0.4,FAN_IN,Fan-in hub: 4 unique senders
C444515946,0.4,FAN_IN,Fan-in hub: 4 unique senders
C44522157,0.4,FAN_IN,Fan-in hub: 4 unique senders
C165880215,0.4,FAN_IN,Fan-in hub: 4 unique senders
C445353808,0.4,FAN_IN,Fan-in hub: 4 unique senders
C1649649394,0.4,FAN_IN,Fan-in hub: 4 unique senders
C869361314,0.4,FAN_IN,Fan-in hub: 4 unique senders
